ID	lat	lon
1063	46.25	91.25
1064	46.25	93.75
1065	46.25	96.25
1066	46.25	98.75
1067	46.25	101.25
1068	46.25	103.75
1069	46.25	106.25
1070	46.25	108.75
1071	46.25	111.25
1072	46.25	113.75
1073	46.25	116.25
1074	46.25	118.75
1075	46.25	121.25
1076	46.25	123.75
1077	46.25	126.25
1078	46.25	128.75
1079	46.25	131.25
1080	46.25	133.75
1081	46.25	136.25
1082	43.75	-121.25
1083	43.75	-118.75
1084	43.75	-116.25
1085	43.75	-113.75
1086	43.75	-111.25
1087	43.75	-108.75
1088	43.75	-106.25
1089	43.75	-103.75
1090	43.75	-101.25
1091	43.75	-98.75
1092	43.75	-96.25
1093	43.75	-93.75
1094	43.75	-91.25
1095	43.75	-88.75
1096	43.75	-86.25
1097	43.75	-83.75
1098	43.75	-81.25
1099	43.75	-78.75
1100	43.75	-76.25
1101	43.75	-73.75
1102	43.75	-71.25
1103	43.75	-68.75
1104	43.75	1.25
1105	43.75	3.75
1106	43.75	6.25
1107	43.75	11.25
1108	43.75	16.25
1109	43.75	18.75
1110	43.75	21.25
1111	43.75	23.75
1112	43.75	26.25
1113	43.75	28.75
1114	43.75	41.25
1115	43.75	43.75
1116	43.75	46.25
1117	43.75	53.75
1118	43.75	56.25
1119	43.75	58.75
1120	43.75	61.25
1121	43.75	63.75
1122	43.75	66.25
1123	43.75	68.75
1124	43.75	71.25
1125	43.75	73.75
1126	43.75	76.25
1127	43.75	78.75
1128	43.75	81.25
1129	43.75	83.75
1130	43.75	86.25
1131	43.75	88.75
1132	43.75	91.25
1133	43.75	93.75
1134	43.75	96.25
1135	43.75	98.75
1136	43.75	101.25
1137	43.75	103.75
1138	43.75	106.25
1139	43.75	108.75
1140	43.75	111.25
1141	43.75	113.75
1142	43.75	116.25
1143	43.75	118.75
1144	43.75	121.25
1145	43.75	123.75
1146	43.75	126.25
1147	43.75	128.75
1148	43.75	131.25
1149	43.75	133.75
1150	43.75	143.75
1151	41.25	-123.75
1152	41.25	-121.25
1153	41.25	-118.75
1154	41.25	-116.25
1155	41.25	-113.75
1156	41.25	-111.25
1157	41.25	-108.75
1158	41.25	-106.25
1159	41.25	-103.75
1160	41.25	-101.25
1161	41.25	-98.75
1162	41.25	-96.25
1163	41.25	-93.75
1164	41.25	-91.25
1165	41.25	-88.75
1166	41.25	-86.25
1167	41.25	-83.75
1168	41.25	-81.25
1169	41.25	-78.75
1170	41.25	-76.25
1171	41.25	-73.75
1172	41.25	-6.25
1173	41.25	-3.75
1174	41.25	-1.25
1175	41.25	1.25
1176	41.25	21.25
1177	41.25	23.75
1178	41.25	28.75
1179	41.25	31.25
1180	41.25	33.75
1181	41.25	36.25
1182	41.25	41.25
1183	41.25	43.75
1184	41.25	46.25
1185	41.25	56.25
1186	41.25	58.75
1187	41.25	61.25
1188	41.25	63.75
1189	41.25	66.25
1190	41.25	68.75
1191	41.25	71.25
1192	41.25	73.75
1193	41.25	76.25
1194	41.25	78.75
1195	41.25	81.25
1196	41.25	83.75
1197	41.25	86.25
1198	41.25	88.75
1199	41.25	91.25
1200	41.25	93.75
1201	41.25	96.25
1202	41.25	98.75
1203	41.25	101.25
1204	41.25	103.75
1205	41.25	106.25
1206	41.25	108.75
1207	41.25	111.25
1208	41.25	113.75
1209	41.25	116.25
1210	41.25	118.75
1211	41.25	121.25
1212	41.25	123.75
1213	41.25	126.25
1214	41.25	128.75
1215	38.75	-121.25
1216	38.75	-118.75
1217	38.75	-116.25
1218	38.75	-113.75
1219	38.75	-111.25
1220	38.75	-108.75
1221	38.75	-106.25
1222	38.75	-103.75
1223	38.75	-101.25
1224	38.75	-98.75
1225	38.75	-96.25
1226	38.75	-93.75
1227	38.75	-91.25
1228	38.75	-88.75
1229	38.75	-86.25
1230	38.75	-83.75
1231	38.75	-81.25
1232	38.75	-78.75
1233	38.75	-76.25
1234	38.75	-8.75
1235	38.75	-6.25
1236	38.75	-3.75
1237	38.75	-1.25
1238	38.75	21.25
1239	38.75	28.75
1240	38.75	31.25
1241	38.75	33.75
1242	38.75	36.25
1243	38.75	38.75
1244	38.75	41.25
1245	38.75	43.75
1246	38.75	46.25
1247	38.75	56.25
1248	38.75	58.75
1249	38.75	61.25
1250	38.75	63.75
1251	38.75	66.25
1252	38.75	68.75
1253	38.75	71.25
1254	38.75	73.75
1255	38.75	76.25
1256	38.75	78.75
1257	38.75	81.25
1258	38.75	83.75
1259	38.75	86.25
1260	38.75	88.75
1261	38.75	91.25
1262	38.75	93.75
1263	38.75	96.25
1264	38.75	98.75
1265	38.75	101.25
1266	38.75	103.75
1267	38.75	106.25
1268	38.75	108.75
1269	38.75	111.25
1270	38.75	113.75
1271	38.75	116.25
1272	38.75	118.75
1273	38.75	126.25
1274	38.75	141.25
1275	36.25	-121.25
1276	36.25	-118.75
1277	36.25	-116.25
1278	36.25	-113.75
1279	36.25	-111.25
1280	36.25	-108.75
1281	36.25	-106.25
1282	36.25	-103.75
1283	36.25	-101.25
1284	36.25	-98.75
1285	36.25	-96.25
1286	36.25	-93.75
1287	36.25	-91.25
1288	36.25	-88.75
1289	36.25	-86.25
1290	36.25	-83.75
1291	36.25	-81.25
1292	36.25	-78.75
1293	36.25	-76.25
1294	36.25	1.25
1295	36.25	3.75
1296	36.25	6.25
1297	36.25	8.75
1298	36.25	11.25
1299	36.25	36.25
1300	36.25	38.75
1301	36.25	41.25
1302	36.25	43.75
1303	36.25	46.25
1304	36.25	48.75
1305	36.25	51.25
1306	36.25	53.75
1307	36.25	56.25
1308	36.25	58.75
1309	36.25	61.25
1310	36.25	63.75
1311	36.25	66.25
